"","plot","first","last"
"1","1111",2019-09-24,2020-09-16 10:30:00
"2","1122",2019-09-24,2020-09-16 10:30:00
"3","1133",2019-09-24,2020-09-16 10:30:00
"4","1211",2019-10-17,2020-09-16 13:30:00
"5","1222",2019-09-24,2020-09-16 13:30:00
"6","1233",2019-09-24,2020-09-16 12:00:00
"7","1322",2019-09-24,2020-10-02 15:00:00
"8","1333",2019-09-24,2020-10-02 15:00:00
"9","2111",2019-10-17,2020-09-17 07:30:00
"10","2122",2019-10-17,2020-09-17 09:00:00
"11","2133",2019-10-17,2020-09-17 10:30:00
"12","2211",2019-10-17,2020-09-17 09:00:00
"13","2222",2019-10-17,2020-09-17 09:00:00
"14","2233",2019-10-17,2020-09-17 09:00:00
"15","2311",2019-10-09,2020-09-29 10:30:00
"16","3111",2019-10-09,2020-10-02 10:30:00
"17","3122",2019-09-24,2020-10-02 12:00:00
"18","3133",2019-09-24,2020-10-02 10:30:00
"19","3211",2019-09-24,2020-09-24 10:30:00
"20","3222",2019-09-24,2020-09-24 10:30:00
"21","3233",2019-09-20,2020-09-24 12:00:00
"22","3311",2019-09-20,2020-10-02 13:30:00
"23","3322",2019-09-20,2020-10-02 13:30:00
"24","3333",2019-09-20,2020-10-02 13:30:00
"25","A1111",2019-06-28,2020-03-25 15:00:00
"26","A1222",2019-07-13,2020-08-06 01:30:00
"27","A1333",2019-07-13,2020-08-06 01:30:00
"28","A2111",2019-07-13,2020-08-06 01:30:00
"29","A2222",2019-06-26,2019-12-25 16:30:00
"30","A2333",2019-07-13,2020-08-06 01:30:00
"31","A3222",2019-07-13,2020-08-06 01:30:00
"32","A3333",2019-06-26,2020-01-09 18:00:00
"33","B1111",2019-06-25,2020-02-05 00:00:00
"34","B1222",2019-07-16,2020-08-09 01:30:00
"35","B1333",2019-07-16,2020-08-09 01:30:00
"36","B2111",2019-07-16,2020-08-09 01:30:00
"37","B2222",2019-06-25,2020-05-26 13:30:00
"38","B2333",2019-07-16,2020-08-09 01:30:00
"39","B3111",2019-07-16,2020-08-09 01:30:00
"40","B3222",2019-07-16,2020-08-09 01:30:00
"41","B3333",2019-06-28,2020-01-27 19:30:00
"42","C1111",2019-07-12,2020-08-05 01:30:00
"43","C1222",2019-09-14,2020-10-08 01:30:00
"44","C1333",2019-09-14,2020-10-08 01:30:00
"45","C2111",2019-09-14,2020-10-08 01:30:00
"46","C2333",2019-09-14,2020-10-08 01:30:00
"47","C3111",2019-09-14,2020-10-08 01:30:00
"48","C3222",2019-09-14,2020-10-08 01:30:00
"49","C3333",2019-06-29,2020-07-23 01:30:00
"50","D2222",2019-07-11,2020-01-29 00:00:00
"51","D3333",2019-07-12,2020-08-05 01:30:00
