"","x"
"1","Acer glabrum"
"2","Acer grandidentatum"
"3","Achillea millefolium"
"4","Agastache urticifolia"
"5","Agoseris grandiflora"
"6","Agoseris heterophylla"
"7","Agoseris parviflora"
"8","Amelanchier alnifolia"
"9","Antennaria microphylla"
"10","Apocynum androsaemifolium"
"11","Arctium minus"
"12","Arenaria serpyllifolia"
"13","Arnica cordifolia"
"14","Artemisia ludoviciana"
"15","Artemisia tridentata"
"16","Astragalus cibarius"
"17","Astragalus convallarius"
"18","Balsamorhiza macrophylla"
"19","Balsamorhiza sagittata"
"20","Berberis repens"
"21","Betula occidentalis"
"22","Bromus briziformis"
"23","Bromus carinatus"
"24","Bromus catharticus"
"25","Bromus japonicus"
"26","Bromus tectorum"
"27","Calochortus nuttallii"
"28","Carex geyeri"
"29","Carex sp."
"30","Castilleja linariifolia"
"31","Chrysothamnus viscidiflorus"
"32","Cirsium arvense"
"33","Claytonia perfoliata"
"34","Clematis columbiana"
"35","Clematis occidentalis"
"36","Collinsia parviflora"
"37","Collomia linearis"
"38","Comandra umbellata"
"39","Cornus sericea"
"40","Crepis acuminata"
"41","Cynoglossum officinale"
"42","Cystopteris fragilis"
"43","Delphinium nuttalianum"
"44","Draba sp."
"45","Dracocephalum parviflorum"
"46","Elymus glaucus"
"47","Elymus lanceolatus"
"48","Elymus smithii"
"49","Elymus trachycaulus"
"50","Epilobium angustifolium"
"51","Epilobium brachycarpum"
"52","Equisetum arvense"
"53","Erigeron speciosus"
"54","Eriogonum heracleoides"
"55","Eriogonum umbellatum"
"56","Erodium cicutarium"
"57","Erysimum capitatum"
"58","Eucephalus elegans"
"59","Eucephalus engelmannii"
"60","Fragaria vesca"
"61","Frasera speciosa"
"62","Galium aparine"
"63","Galium boreale"
"64","Geranium richardsonii"
"65","Geranium viscosissimum"
"66","Geum macrophyllum"
"67","Hackelia patens"
"68","Helianthella uniflora"
"69","Hydrophyllum capitatum"
"70","Ipomopsis aggregata"
"71","Isatis tinctoria"
"72","Juniperus osteosperma"
"73","Koeleria macrantha"
"74","Lactuca serriola"
"75","Lathyrus pauciflorus"
"76","Leucopoa kingii"
"77","Leymus cinereus"
"78","Linum lewisii"
"79","Lithophragma parviflorum"
"80","Lithospermum ruderale"
"81","Lomatium ambiguum"
"82","Lomatium dissectum"
"83","Lomatium grayi"
"84","Lupinus sericeus"
"85","Maianthemum racemosum"
"86","Maianthemum stellatum"
"87","Melica bulbosa"
"88","Mentha arvensis"
"89","Mertensia oblongifolia"
"90","Myosotis scorpioides"
"91","Nemophila breviflora"
"92","Nemophila parviflora"
"93","Oenothera caespitosa"
"94","Osmorhiza berteroi"
"95","Osmorhiza occidentalis"
"96","Ozomelis stauropetala"
"97","Paxistima myrsinites"
"98","Penstemon cyananthus"
"99","Penstemon humilis"
"100","Petradoria pumila"
"101","Physocarpus malvaceus"
"102","Poa bulbosa"
"103","Poa pratensis"
"104","Poa secunda"
"105","Populus tremuloides"
"106","Prosartes trachycarpa"
"107","Prunus virginiana"
"108","Pseudoroegneria spicata"
"109","Pseudostellaria jamesiana"
"110","Pseudotsuga menziesii"
"111","Rosa woodsii"
"112","Rubus parviflorus"
"113","Salix exigua"
"114","Sedum debile"
"115","Senecio integerrimus"
"116","Senecio serra"
"117","Senecio sphaerocephalus"
"118","Shepherdia canadensis"
"119","Symphoricarpos oreophilus"
"120","Symphyotrichum spathulatum"
"121","Taraxacum officinale"
"122","Thalictrum fendleri"
"123","Tragopogon dubius"
"124","Verbascum thapsus"
"125","Vicia americana"
"126","Viola purpurea"
"127","white flowered brassica"
"128","Wyethia amplexicaulis"
