"","species","sla.m","la.m","ldmc.m","sla.se","la.se","ldmc.se","ht.max","ht.m","ht.se","life_history","growth_form","disp_syn","disp_type","hybridization","native"
"1","Acer glabrum",6.59975753242803,0.76594903590039,0.1157,0.107937380809295,0.0291977226289564,0.00316828029063086,450,258,66.1362230551458,"perennial-woody","tree",2,"samara",0,1
"2","Acer grandidentatum",7.88379165218436,2.3242430757434,0.29368,0.150971676531248,0.0816743522929065,0.00697513297364287,540,428,47.5815090134813,"perennial-woody","tree",2,"samara",0,1
"3","Achillea millefolium",9.63904529034463,0.869865913772599,0.09556,0.524287294725201,0.0590249357574061,0.0077515108204788,59,21.5945945945946,2.63650153224281,"perennial-herb","herbaceous",1,"achene",0,1
"4","Agastache urticifolia",12.2760850417438,0.67488457543789,0.05456,0.597220210661379,0.0560939422836039,0.00375248184539246,90,48.6030303030303,4.30335159385243,"perennial-herb","herbaceous",1,"nutlet",0,1
"5","Agoseris grandiflora",144.731258407156,12.2908017771675,0.06654,64.1001349094431,5.53077842995654,0.00426143857114615,20.8,14.4,1.8409236811992,"perennial-herb","herbaceous",2,"achene",0,1
"6","Agoseris heterophylla",218.197752705092,2.77257031370152,0.01704,93.3232231847226,1.17329645529536,0.00237762907115471,15.5,9.82,1.72174330258607,"annual","herbaceous",2,"achene",0,1
"7","Agoseris parviflora",221.533711840237,5.45524756907222,0.0262,94.2421744999289,2.31780817427019,0.00246771149042995,36,18.95,3.72144685124841,"perennial-herb","herbaceous",2,"achene",0,1
"8","Amelanchier alnifolia",7.46414673993662,0.474794520175668,0.06396,0.187539878677226,0.015536450744848,0.00211856555244344,290,191.833333333333,33.4867303735541,"perennial-woody","shrub",3,"pome",1,1
"9","Antennaria microphylla",9.59305264422457,0.0262319566239896,0.00274,0.0629924549911029,0.000470070412399015,5.34789678284838e-05,6,4.94,0.389358446678636,"perennial-herb","cushion",2,"achene",1,1
"10","Arenaria serpyllifolia",26.9419041848626,0.00998713747639899,0.00037,0.507559317589791,0.000285080001254537,9.08295106229248e-06,6.3,5.28,0.401746188532013,"annual","herbaceous",1,"capsule",0,0
"11","Arnica cordifolia",115.054075456135,11.1042813232885,0.07456,46.6624333886422,4.63961180092847,0.0028842191317582,23,10.4333333333333,1.5098302227692,"perennial-herb","herbaceous",2,"achene",1,1
"12","Artemisia ludoviciana",5.66005753111118,0.132250655083243,0.0236,0.137078818317017,0.00517478937559953,0.00105792249243506,33.6,30.38,1.27137720602503,"perennial-herb","herbaceous",1,"achene",1,1
"13","Artemisia tridentata",11.0329967014035,0.104158768397874,0.00962,0.245159125596915,0.00172015587727025,0.000252467819731545,124,68.25,12.6840028607466,"perennial-woody","shrub",1,"achene",1,1
"14","Astragalus cibarius",15.6008110650143,0.870593293961664,0.05632,0.285640626241598,0.0325712707047349,0.00254473574266563,14.7,11.84,0.596322060635023,"perennial-herb","herbaceous",1,"legume",0,1
"15","Astragalus convallarius",5.26672101427372,0.0348250351847256,0.00672,0.10672919590197,0.000812898985532134,0.000212931914000696,48,34.06,4.84495614015235,"perennial-herb","herbaceous",1,"legume",0,1
"16","Balsamorhiza macrophylla",342.008569756009,567.252356354529,1.73011111111111,19.2696190664821,46.7854967517227,0.235130442739516,40,32.1333333333333,3.62690562938222,"perennial-herb","herbaceous",1,"achene",0,1
"17","Berberis repens",3.42312981552687,0.266931962129488,0.07912,0.0789070510140637,0.00935387029303687,0.00362806835657764,28,14.4594594594595,0.968416089092651,"perennial-woody","subshrub",3,"berry",0,1
"18","Betula occidentalis",6.20755751536882,0.460640430898948,0.0757,0.473069181459902,0.0272557752824288,0.0013339165391183,1330,892,147.864803114196,"perennial-woody","tree",2,"samara",0,1
"19","Bromus briziformis",16.7750222811362,0.108030115208629,0.0066,0.496098181763632,0.00684290458880721,0.000493963561409139,43,25.1923076923077,2.08291159439357,"annual","herbaceous",1,"caryopsis",0,0
"20","Bromus carinatus",182.365804726583,6.94859706984208,0.03383,78.1774983190368,3.00822328372356,0.00153642577649123,109,76.5222222222222,9.27114366937929,"perennial-herb","herbaceous",4,"caryopsis",0,1
"21","Bromus catharticus",565.72379841254,28.3487949729258,0.0543166666666667,41.5182200889603,2.49996433387883,0.00479047218313328,74,50.3857142857143,5.77071542034305,"perennial-herb","herbaceous",4,"caryopsis",0,1
"22","Bromus japonicus",8.12662717215529,0.113323697764081,0.01421,0.18886374865821,0.0036565241115631,0.000705499232222592,30,17.7396226415094,0.899239073678518,"annual","herbaceous",4,"caryopsis",0,0
"23","Bromus tectorum",19.9812895913103,0.0881758091697087,0.00444,0.216890502085939,0.00212197596691888,0.000142548237449644,52,19.0236842105263,0.917719021035595,"annual","herbaceous",4,"caryopsis",0,0
"24","Calochortus nuttallii",4.96112936072147,0.0247372828842775,0.00504,0.153497641347405,0.000449888743882926,0.000152795304995796,24.7,16.98,2.687266268906,"perennial-herb","herbaceous",1,"capsule",0,1
"25","Carex geyeri",364.145311850983,13.3167257181166,0.03804,10.8951565418221,0.45876035209002,0.00256053119488906,36.5,27.5555555555556,1.79397998805195,"perennial-herb","herbaceous",1,"achene",0,1
"26","Carex sp.",737.736472869032,25.7544489546838,0.03532,11.9896445473229,0.810956700944935,0.0014790807956295,65.9,51.12,5.01312277926643,"perennial-herb","herbaceous",1,"achene",0,1
"27","Castilleja linariifolia",12.0094463045641,0.174206334954793,0.0145333333333333,0.0627638919255749,0.00900887609294783,0.000793865367818891,18.5,14.6,2.1,"perennial-herb","parasitic",1,"capsule",1,1
"28","Chrysothamnus viscidiflorus",11.531630782935,0.0868531000263219,0.0078,0.578877106790581,0.00465794158566407,0.000470744091837593,63,46,17,"perennial-woody","shrub",2,"achene",0,1
"29","Cirsium arvense",9.82959016730551,2.43936282897096,0.2478,0.127434064630567,0.0869668333642024,0.00563489130329948,57,37.7142857142857,6.41692065934271,"perennial-herb","herbaceous",2,"achene",1,0
"30","Claytonia perfoliata",20.3601810549022,0.0797132630791306,0.00390444444444444,0.440409033304368,0.00611803162327825,0.000297194793081726,19,8.66666666666667,0.681585935134507,"perennial-herb","herbaceous",1,"capsule",0,1
