"","plot_id","first","second","third","fourth","elev","aspect","slope","SAND","CLAY","SILT","class","mean","sd","max","min"
"1","1111",1,1,1,1,1820,0.788010753606722,31.35,51.0350318471338,3.5828025477707,45.3821656050956,"SaLo",6.33361377655929,7.73054791627135,27.57,-7.01
"2","1122",1,1,2,2,1934,0.342020143325668,24.8,53.1001589825119,5.96184419713831,40.9379968203498,"SaLo",10.241191496657,11.0016329550741,43.6,-3.55
"3","1233",1,2,3,3,1808,-0.951056516295154,28.6,21.2567110757606,26.8443030423543,51.8989858818851,"SiLo",12.5598542524005,11.9050956260428,46.98,-3.08
"4","1311",1,3,1,1,1785,-0.866025403784439,34.4,28.4,22.2,49.4,"Lo",12.2649048517058,11.8770787103596,49.63,-4.03
"5","1322",1,3,2,2,1745,-0.309016994374947,24.8,30.622009569378,15.9489633173844,53.4290271132376,"SiLo",8.93648945292403,9.42914323797487,38.49,-5.13
"6","1333",1,3,3,3,1767,0.996194698091746,40.95,23.4440246569895,23.6627560151123,52.8932193278982,"SiLo",5.92477962613617,6.59124571827401,21.09,-2.03
"7","2211",2,2,1,1,1976,-1,16.35,46.3220675944334,9.54274353876739,44.1351888667992,"Lo",9.99708454810496,9.66690768861792,37.71,-1.34
"8","2222",2,2,2,2,1953,-0.92050485345244,12.35,31.184496737196,11.8647419418628,56.9507613209413,"SiLo",8.81032750342936,8.79005905389102,33.22,-1.46
"9","2311",2,3,1,1,1819,0.939692620785908,39.55,53.9698492462312,10.251256281407,35.7788944723618,"SaLo",4.67791287943749,5.86766712111464,21.19,-7.14
"10","3133",3,1,3,3,1937,-0.224951054343865,29.1,54.093799682035,8.74403815580286,37.1621621621622,"SaLo",8.00726018937834,10.2795176433453,48.42,-2.96
"11","3211",3,2,1,1,2052,-0.866025403784439,24.7,31.7043861405969,13.2185059082716,55.0771079511316,"SiLo",11.8997564740182,13.96846256849,62.28,-0.77
"12","3333",3,3,3,3,1988,-0.374606593415912,19.05,62.1931908155186,8.11559778305621,29.6912114014252,"SaLo",12.1688991769547,12.1565829855205,49.36,-1.11
