species 2018-2019,seeds gotten,look for in ,action
Acer glabrum,1331(2),2323,
Agoseris heterophylla,,2211,
Agoseris parviflora,,1131-2212-3122,maybe actually glauca
Agoseris sp.,2211(3),2211,
Allium acuminatum,,1123-3332,
Antennaria alpina,,2313-2323,
asteraceae,,1121-1332-1223-3112-3212-2313-2232-2223,
Astragalus convallarius,,3311,
Betula occidentalis,,1331,
brassicaceae,,2123-2212,
browsed stalks,,3231,
browsed yellow,,1122,
Calochortus nuttallii,,3312,
Castilleja sp.,1122-3313(3),1122-2212-2313-3231-3312,
Circium sp.,,1221,
Claytonia perfoliata,,1111-1133-1112,
Collomia linearis,3111-3113,lots of plots,
Comandra umbellata,3313,3312-3132-3213-3231,
delicate vine,,1121,
Descurainia sophia,1321-2113-3111,,
Draba sp.,3111(3),,
Elymus smithii ,3232(2),3232-3333,
Epilobium angustifolium,,3111-3221,
Erodium cicutarium,,1132-1131-1213-1211-2122,
Erysimum capitatum,3311(2),,
Fragaria vesca,,2331-2323,
Galium boreale,,3323-3222,
Geranium richardsonii,1331,,key out ID in plot 1331
grass,,lots of plots,
Ipomopsis aggregata,3312,,
Leonurus cardiaca,,1322,
Linaria genistifolia,,1312,
Lithophragma parviflorum,,1111-1113-1333,
Lomatium ambiguum,1122(5),,
Lupinus sericeus,2113(2)-3322,,collect again
Maianthemum stellatum,,1111-3321,also right along the trail
Meliotus officinalis,,1232,
Mentha arvensis,,1322,
Mertensia oblongifolia,,1322,
Myosotis sp.,,3221,
Nemophila parviflora,D2221(5),,
Osmorhiza berteroi,1331(3),,key out ID in plot 1331
Osmorhiza occidentalis,3111-3113,,
Paxistima myrsinites,,1333-2311-2313-2331-3221,
Penstemon humilis,1313(2),1311-1332,
Penstemon sp.,,2323,
Poa sp.,,1333-2331-2332,
Populus tremuloides,,3221-3222-2333,
Pseudostellaria jamesiana,3313,lots of plots,check ID
Salix exigua,,1331,collect non-galls
Senecio integerrimus,,2111,
Senecio schweinfurthii,,3222,
Senecio serra,3111(3),,
Senecio sp.,D2222(5),,
serrated leaf rosette purple stem,,2323,
Shepherdia canadensis,,3221,
Sisymbrium altissimum,,1133-1121-3321-3212,
Stellaria media,,3333,
Symphyotrichum ascendens,,3333,
Taraxacum officinale,,1111-2123-3111-3113-2323,
tiny plant,,1112-1113-1331-1322-1232-1333-3313-3131-2212,
Viola purpurea,,2111,
white flower brassica,3311(3),,
