Agoseris heterophylla
Agoseris parviflora
Allium acuminatum
Antennaria alpina
asteraceae
Astragalus convallarius
Betula occidentalis
brassicaceae
browsed stalks
browsed yellow
Calochortus nuttallii
Circium sp.
Claytonia perfoliata
delicate vine
Elymus smithii
Epilobium angustifolium
Equisetum arvense
Erodium cicutarium
Eucephalus engelmannii
Fragaria vesca
Galium boreale
grass
Leonurus cardiaca
Linaria genistifolia
Lithophragma parviflorum
Maianthemum stellatum
Meliotus officinalis
Mentha arvensis
Mertensia oblongifolia
Myosotis sp.
Paxistima myrsinites
Penstemon sp.
Poa sp.
Populus tremuloides
Senecio integerrimus
Senecio schweinfurthii
serrated leaf rosette purple stem
Shepherdia canadensis
Sisymbrium altissimum
Stellaria media
Symphyotrichum ascendens
Taraxacum officinale
tiny plant
Viola purpurea
