"Plot Title: 20168516"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168516, SEN S/N: 20168516)","Coupler Attached (LGR S/N: 20168516)","Host Connected (LGR S/N: 20168516)","Coupler Detached (LGR S/N: 20168516)","End Of File (LGR S/N: 20168516)"
1,09/16/17 12:00:00 AM,47.446,,,,
2,09/16/17 01:30:00 AM,46.188,,,,
3,09/16/17 03:00:00 AM,45.648,,,,
4,09/16/17 04:30:00 AM,45.466,,,,
5,09/16/17 06:00:00 AM,45.104,,,,
6,09/16/17 07:30:00 AM,44.379,,,,
7,09/16/17 09:00:00 AM,44.195,,,,
8,09/16/17 10:30:00 AM,44.379,,,,
9,09/16/17 12:00:00 PM,45.466,,,,
10,09/16/17 01:30:00 PM,47.802,,,,
11,09/16/17 03:00:00 PM,53.100,,,,
12,09/16/17 04:30:00 PM,52.576,,,,
13,09/16/17 06:00:00 PM,52.225,,,,
14,09/16/17 07:30:00 PM,50.290,,,,
15,09/16/17 09:00:00 PM,47.802,,,,
16,09/16/17 10:30:00 PM,46.369,,,,
17,09/17/17 12:00:00 AM,45.104,,,,
18,09/17/17 01:30:00 AM,43.831,,,,
19,09/17/17 03:00:00 AM,42.732,,,,
20,09/17/17 04:30:00 AM,41.994,,,,
21,09/17/17 06:00:00 AM,41.439,,,,
22,09/17/17 07:30:00 AM,41.067,,,,
23,09/17/17 09:00:00 AM,41.254,,,,
24,09/17/17 10:30:00 AM,43.099,,,,
25,09/17/17 12:00:00 PM,45.466,,,,
26,09/17/17 01:30:00 PM,48.160,,,,
27,09/17/17 03:00:00 PM,52.925,,,,
28,09/17/17 04:30:00 PM,53.798,,,,
29,09/17/17 06:00:00 PM,53.798,,,,
30,09/17/17 07:30:00 PM,52.225,,,,
31,09/17/17 09:00:00 PM,49.582,,,,
32,09/17/17 10:30:00 PM,47.446,,,,
33,09/18/17 12:00:00 AM,46.008,,,,
34,09/18/17 01:30:00 AM,44.742,,,,
35,09/18/17 03:00:00 AM,43.648,,,,
36,09/18/17 04:30:00 AM,42.915,,,,
37,09/18/17 06:00:00 AM,42.363,,,,
38,09/18/17 07:30:00 AM,41.994,,,,
39,09/18/17 09:00:00 AM,42.548,,,,
40,09/18/17 10:30:00 AM,43.831,,,,
41,09/18/17 12:00:00 PM,47.266,,,,
42,09/18/17 01:30:00 PM,51.346,,,,
43,09/18/17 03:00:00 PM,54.669,,,,
44,09/18/17 04:30:00 PM,54.842,,,,
45,09/18/17 06:00:00 PM,53.973,,,,
46,09/18/17 07:30:00 PM,52.750,,,,
47,09/18/17 09:00:00 PM,51.523,,,,
48,09/18/17 10:30:00 PM,50.819,,,,
49,09/19/17 12:00:00 AM,50.290,,,,
50,09/19/17 01:30:00 AM,49.759,,,,
51,09/19/17 03:00:00 AM,49.228,,,,
52,09/19/17 04:30:00 AM,48.695,,,,
53,09/19/17 06:00:00 AM,47.802,,,,
54,09/19/17 07:30:00 AM,47.266,,,,
55,09/19/17 09:00:00 AM,44.742,,,,
56,09/19/17 10:30:00 AM,44.742,,,,
57,09/19/17 12:00:00 PM,45.466,,,,
58,09/19/17 01:30:00 PM,47.802,,,,
59,09/19/17 03:00:00 PM,51.523,,,,
60,09/19/17 04:30:00 PM,50.819,,,,
61,09/19/17 06:00:00 PM,50.113,,,,
62,09/19/17 07:30:00 PM,49.050,,,,
63,09/19/17 09:00:00 PM,46.908,,,,
64,09/19/17 10:30:00 PM,45.286,,,,
65,09/20/17 12:00:00 AM,44.013,,,,
66,09/20/17 01:30:00 AM,43.099,,,,
67,09/20/17 03:00:00 AM,42.363,,,,
68,09/20/17 04:30:00 AM,41.810,,,,
69,09/20/17 06:00:00 AM,41.254,,,,
70,09/20/17 07:30:00 AM,40.881,,,,
71,09/20/17 09:00:00 AM,40.696,,,,
72,09/20/17 10:30:00 AM,41.254,,,,
73,09/20/17 12:00:00 PM,42.179,,,,
74,09/20/17 01:30:00 PM,44.922,,,,
75,09/20/17 03:00:00 PM,49.404,,,,
76,09/20/17 04:30:00 PM,50.113,,,,
77,09/20/17 06:00:00 PM,49.404,,,,
78,09/20/17 07:30:00 PM,48.871,,,,
79,09/20/17 09:00:00 PM,48.160,,,,
80,09/20/17 10:30:00 PM,47.088,,,,
81,09/21/17 12:00:00 AM,46.548,,,,
82,09/21/17 01:30:00 AM,46.369,,,,
83,09/21/17 03:00:00 AM,46.008,,,,
84,09/21/17 04:30:00 AM,45.466,,,,
85,09/21/17 06:00:00 AM,45.466,,,,
86,09/21/17 07:30:00 AM,45.286,,,,
87,09/21/17 09:00:00 AM,46.188,,,,
88,09/21/17 10:30:00 AM,47.088,,,,
89,09/21/17 12:00:00 PM,47.446,,,,
90,09/21/17 01:30:00 PM,49.228,,,,
91,09/21/17 03:00:00 PM,50.995,,,,
92,09/21/17 04:30:00 PM,50.643,,,,
93,09/21/17 06:00:00 PM,49.759,,,,
94,09/21/17 07:30:00 PM,47.982,,,,
95,09/21/17 09:00:00 PM,46.908,,,,
96,09/21/17 10:30:00 PM,46.008,,,,
97,09/22/17 12:00:00 AM,45.286,,,,
98,09/22/17 01:30:00 AM,44.742,,,,
99,09/22/17 03:00:00 AM,44.195,,,,
100,09/22/17 04:30:00 AM,44.013,,,,
101,09/22/17 06:00:00 AM,44.013,,,,
102,09/22/17 07:30:00 AM,43.831,,,,
103,09/22/17 09:00:00 AM,43.831,,,,
104,09/22/17 10:30:00 AM,44.560,,,,
105,09/22/17 12:00:00 PM,46.548,,,,
106,09/22/17 01:30:00 PM,47.802,,,,
107,09/22/17 03:00:00 PM,48.160,,,,
108,09/22/17 04:30:00 PM,48.160,,,,
109,09/22/17 06:00:00 PM,47.982,,,,
110,09/22/17 07:30:00 PM,46.908,,,,
111,09/22/17 09:00:00 PM,45.466,,,,
112,09/22/17 10:30:00 PM,44.195,,,,
113,09/23/17 12:00:00 AM,42.915,,,,
114,09/23/17 01:30:00 AM,42.179,,,,
115,09/23/17 03:00:00 AM,41.625,,,,
116,09/23/17 04:30:00 AM,41.254,,,,
117,09/23/17 06:00:00 AM,40.509,,,,
118,09/23/17 07:30:00 AM,40.134,,,,
119,09/23/17 09:00:00 AM,40.321,,,,
120,09/23/17 10:30:00 AM,41.067,,,,
121,09/23/17 12:00:00 PM,43.466,,,,
122,09/23/17 01:30:00 PM,44.922,,,,
123,09/23/17 03:00:00 PM,46.188,,,,
124,09/23/17 04:30:00 PM,47.266,,,,
125,09/23/17 06:00:00 PM,47.446,,,,
126,09/23/17 07:30:00 PM,46.188,,,,
127,09/23/17 09:00:00 PM,45.466,,,,
128,09/23/17 10:30:00 PM,44.560,,,,
129,09/24/17 12:00:00 AM,42.179,,,,
130,09/24/17 01:30:00 AM,41.625,,,,
131,09/24/17 03:00:00 AM,41.810,,,,
132,09/24/17 04:30:00 AM,41.994,,,,
133,09/24/17 06:00:00 AM,42.179,,,,
134,09/24/17 07:30:00 AM,41.810,,,,
135,09/24/17 09:00:00 AM,42.179,,,,
136,09/24/17 10:30:00 AM,43.099,,,,
137,09/24/17 12:00:00 PM,43.831,,,,
138,09/24/17 01:30:00 PM,44.560,,,,
139,09/24/17 03:00:00 PM,44.560,,,,
140,09/24/17 04:30:00 PM,44.379,,,,
141,09/24/17 06:00:00 PM,43.466,,,,
142,09/24/17 07:30:00 PM,43.466,,,,
143,09/24/17 09:00:00 PM,43.099,,,,
144,09/24/17 10:30:00 PM,42.732,,,,
145,09/25/17 12:00:00 AM,42.363,,,,
146,09/25/17 01:30:00 AM,42.179,,,,
147,09/25/17 03:00:00 AM,41.994,,,,
148,09/25/17 04:30:00 AM,41.439,,,,
149,09/25/17 06:00:00 AM,41.254,,,,
150,09/25/17 07:30:00 AM,41.067,,,,
151,09/25/17 09:00:00 AM,41.067,,,,
152,09/25/17 10:30:00 AM,41.067,,,,
153,09/25/17 12:00:00 PM,41.994,,,,
154,09/25/17 01:30:00 PM,43.648,,,,
155,09/25/17 03:00:00 PM,46.188,,,,
156,09/25/17 04:30:00 PM,46.369,,,,
157,09/25/17 06:00:00 PM,47.446,,,,
158,09/25/17 07:30:00 PM,46.188,,,,
159,09/25/17 09:00:00 PM,44.922,,,,
160,09/25/17 10:30:00 PM,43.282,,,,
161,09/26/17 12:00:00 AM,42.179,,,,
162,09/26/17 01:30:00 AM,41.254,,,,
163,09/26/17 03:00:00 AM,40.509,,,,
164,09/26/17 04:30:00 AM,39.947,,,,
165,09/26/17 06:00:00 AM,39.384,,,,
166,09/26/17 07:30:00 AM,39.007,,,,
167,09/26/17 09:00:00 AM,38.818,,,,
168,09/26/17 10:30:00 AM,38.818,,,,
169,09/26/17 12:00:00 PM,39.196,,,,
170,09/26/17 01:30:00 PM,41.439,,,,
171,09/26/17 03:00:00 PM,45.828,,,,
172,09/26/17 04:30:00 PM,46.728,,,,
173,09/26/17 06:00:00 PM,47.088,,,,
174,09/26/17 07:30:00 PM,46.008,,,,
175,09/26/17 09:00:00 PM,43.831,,,,
176,09/26/17 10:30:00 PM,42.363,,,,
177,09/27/17 12:00:00 AM,41.439,,,,
178,09/27/17 01:30:00 AM,40.696,,,,
179,09/27/17 03:00:00 AM,40.134,,,,
180,09/27/17 04:30:00 AM,39.573,,,,
181,09/27/17 06:00:00 AM,39.196,,,,
182,09/27/17 07:30:00 AM,39.007,,,,
183,09/27/17 09:00:00 AM,38.818,,,,
