"Plot Title: 20168526"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168526, SEN S/N: 20168526)","Coupler Attached (LGR S/N: 20168526)","Host Connected (LGR S/N: 20168526)","End Of File (LGR S/N: 20168526)"
1,09/16/17 12:00:00 AM,46.728,,,
2,09/16/17 01:30:00 AM,44.742,,,
3,09/16/17 03:00:00 AM,44.195,,,
4,09/16/17 04:30:00 AM,43.282,,,
5,09/16/17 06:00:00 AM,42.363,,,
6,09/16/17 07:30:00 AM,41.067,,,
7,09/16/17 09:00:00 AM,40.881,,,
8,09/16/17 10:30:00 AM,41.067,,,
9,09/16/17 12:00:00 PM,43.466,,,
10,09/16/17 01:30:00 PM,56.577,,,
11,09/16/17 03:00:00 PM,56.577,,,
12,09/16/17 04:30:00 PM,58.820,,,
13,09/16/17 06:00:00 PM,58.131,,,
14,09/16/17 07:30:00 PM,52.401,,,
15,09/16/17 09:00:00 PM,48.517,,,
16,09/16/17 10:30:00 PM,46.548,,,
17,09/17/17 12:00:00 AM,44.379,,,
18,09/17/17 01:30:00 AM,42.363,,,
19,09/17/17 03:00:00 AM,41.067,,,
20,09/17/17 04:30:00 AM,39.760,,,
21,09/17/17 06:00:00 AM,39.196,,,
22,09/17/17 07:30:00 AM,38.818,,,
23,09/17/17 09:00:00 AM,39.573,,,
24,09/17/17 10:30:00 AM,44.379,,,
25,09/17/17 12:00:00 PM,47.266,,,
26,09/17/17 01:30:00 PM,56.404,,,
27,09/17/17 03:00:00 PM,58.476,,,
28,09/17/17 04:30:00 PM,62.598,,,
29,09/17/17 06:00:00 PM,61.741,,,
30,09/17/17 07:30:00 PM,55.711,,,
31,09/17/17 09:00:00 PM,51.699,,,
32,09/17/17 10:30:00 PM,48.871,,,
33,09/18/17 12:00:00 AM,46.548,,,
34,09/18/17 01:30:00 AM,44.922,,,
35,09/18/17 03:00:00 AM,43.466,,,
36,09/18/17 04:30:00 AM,42.548,,,
37,09/18/17 06:00:00 AM,41.625,,,
38,09/18/17 07:30:00 AM,41.254,,,
39,09/18/17 09:00:00 AM,42.732,,,
40,09/18/17 10:30:00 AM,45.466,,,
41,09/18/17 12:00:00 PM,50.290,,,
42,09/18/17 01:30:00 PM,62.083,,,
43,09/18/17 03:00:00 PM,61.569,,,
44,09/18/17 04:30:00 PM,62.940,,,
45,09/18/17 06:00:00 PM,58.993,,,
46,09/18/17 07:30:00 PM,56.057,,,
47,09/18/17 09:00:00 PM,53.274,,,
48,09/18/17 10:30:00 PM,52.225,,,
49,09/19/17 12:00:00 AM,51.172,,,
50,09/19/17 01:30:00 AM,50.466,,,
51,09/19/17 03:00:00 AM,49.582,,,
52,09/19/17 04:30:00 AM,48.871,,,
53,09/19/17 06:00:00 AM,47.624,,,
54,09/19/17 07:30:00 AM,46.369,,,
55,09/19/17 09:00:00 AM,42.915,,,
56,09/19/17 10:30:00 AM,43.466,,,
57,09/19/17 12:00:00 PM,46.188,,,
58,09/19/17 01:30:00 PM,53.623,,,
59,09/19/17 03:00:00 PM,53.973,,,
60,09/19/17 04:30:00 PM,52.925,,,
61,09/19/17 06:00:00 PM,53.274,,,
62,09/19/17 07:30:00 PM,48.871,,,
63,09/19/17 09:00:00 PM,45.828,,,
64,09/19/17 10:30:00 PM,44.013,,,
65,09/20/17 12:00:00 AM,42.363,,,
66,09/20/17 01:30:00 AM,41.067,,,
67,09/20/17 03:00:00 AM,40.134,,,
68,09/20/17 04:30:00 AM,39.573,,,
69,09/20/17 06:00:00 AM,39.007,,,
70,09/20/17 07:30:00 AM,38.440,,,
71,09/20/17 09:00:00 AM,39.007,,,
72,09/20/17 10:30:00 AM,40.881,,,
73,09/20/17 12:00:00 PM,43.099,,,
74,09/20/17 01:30:00 PM,53.623,,,
75,09/20/17 03:00:00 PM,53.449,,,
76,09/20/17 04:30:00 PM,52.576,,,
77,09/20/17 06:00:00 PM,50.643,,,
78,09/20/17 07:30:00 PM,49.228,,,
79,09/20/17 09:00:00 PM,48.339,,,
80,09/20/17 10:30:00 PM,46.728,,,
81,09/21/17 12:00:00 AM,46.548,,,
82,09/21/17 01:30:00 AM,46.188,,,
83,09/21/17 03:00:00 AM,45.466,,,
84,09/21/17 04:30:00 AM,45.104,,,
85,09/21/17 06:00:00 AM,45.286,,,
86,09/21/17 07:30:00 AM,44.922,,,
87,09/21/17 09:00:00 AM,47.266,,,
88,09/21/17 10:30:00 AM,48.695,,,
89,09/21/17 12:00:00 PM,48.871,,,
90,09/21/17 01:30:00 PM,53.623,,,
91,09/21/17 03:00:00 PM,56.057,,,
92,09/21/17 04:30:00 PM,55.537,,,
93,09/21/17 06:00:00 PM,52.750,,,
94,09/21/17 07:30:00 PM,49.050,,,
95,09/21/17 09:00:00 PM,47.624,,,
96,09/21/17 10:30:00 PM,45.466,,,
97,09/22/17 12:00:00 AM,44.922,,,
98,09/22/17 01:30:00 AM,44.560,,,
99,09/22/17 03:00:00 AM,43.466,,,
