"Plot Title: 20168499"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20168499, SEN S/N: 20168499)","End Of File (LGR S/N: 20168499)"
1,09/16/17 12:00:00 AM,46.908,
2,09/16/17 01:30:00 AM,44.560,
3,09/16/17 03:00:00 AM,44.195,
4,09/16/17 04:30:00 AM,43.282,
5,09/16/17 06:00:00 AM,41.810,
6,09/16/17 07:30:00 AM,40.509,
7,09/16/17 09:00:00 AM,40.509,
8,09/16/17 10:30:00 AM,41.254,
9,09/16/17 12:00:00 PM,49.582,
10,09/16/17 01:30:00 PM,65.680,
11,09/16/17 03:00:00 PM,75.139,
12,09/16/17 04:30:00 PM,78.975,
13,09/16/17 06:00:00 PM,72.718,
14,09/16/17 07:30:00 PM,61.398,
15,09/16/17 09:00:00 PM,54.322,
16,09/16/17 10:30:00 PM,51.346,
17,09/17/17 12:00:00 AM,47.802,
18,09/17/17 01:30:00 AM,44.742,
19,09/17/17 03:00:00 AM,42.732,
20,09/17/17 04:30:00 AM,41.254,
21,09/17/17 06:00:00 AM,40.321,
22,09/17/17 07:30:00 AM,39.947,
23,09/17/17 09:00:00 AM,41.254,
24,09/17/17 10:30:00 AM,47.446,
25,09/17/17 12:00:00 PM,56.923,
26,09/17/17 01:30:00 PM,64.996,
27,09/17/17 03:00:00 PM,74.446,
28,09/17/17 04:30:00 PM,80.206,
29,09/17/17 06:00:00 PM,76.354,
30,09/17/17 07:30:00 PM,65.509,
31,09/17/17 09:00:00 PM,58.131,
32,09/17/17 10:30:00 PM,53.449,
33,09/18/17 12:00:00 AM,50.290,
34,09/18/17 01:30:00 AM,47.802,
35,09/18/17 03:00:00 AM,45.648,
36,09/18/17 04:30:00 AM,44.195,
37,09/18/17 06:00:00 AM,42.915,
38,09/18/17 07:30:00 AM,42.363,
39,09/18/17 09:00:00 AM,44.195,
40,09/18/17 10:30:00 AM,47.802,
41,09/18/17 12:00:00 PM,57.268,
42,09/18/17 01:30:00 PM,70.651,
43,09/18/17 03:00:00 PM,74.271,
44,09/18/17 04:30:00 PM,74.964,
45,09/18/17 06:00:00 PM,66.193,
46,09/18/17 07:30:00 PM,61.054,
47,09/18/17 09:00:00 PM,56.577,
48,09/18/17 10:30:00 PM,54.842,
49,09/19/17 12:00:00 AM,53.449,
50,09/19/17 01:30:00 AM,52.401,
51,09/19/17 03:00:00 AM,51.172,
52,09/19/17 04:30:00 AM,50.466,
53,09/19/17 06:00:00 AM,48.871,
54,09/19/17 07:30:00 AM,46.908,
55,09/19/17 09:00:00 AM,43.099,
56,09/19/17 10:30:00 AM,44.742,
57,09/19/17 12:00:00 PM,48.339,
58,09/19/17 01:30:00 PM,58.820,
59,09/19/17 03:00:00 PM,68.763,
60,09/19/17 04:30:00 PM,60.712,
61,09/19/17 06:00:00 PM,63.455,
62,09/19/17 07:30:00 PM,56.750,
63,09/19/17 09:00:00 PM,50.466,
64,09/19/17 10:30:00 PM,47.266,
65,09/20/17 12:00:00 AM,44.742,
66,09/20/17 01:30:00 AM,42.915,
67,09/20/17 03:00:00 AM,41.439,
68,09/20/17 04:30:00 AM,40.696,
69,09/20/17 06:00:00 AM,39.760,
70,09/20/17 07:30:00 AM,39.007,
71,09/20/17 09:00:00 AM,39.573,
72,09/20/17 10:30:00 AM,42.363,
73,09/20/17 12:00:00 PM,47.088,
74,09/20/17 01:30:00 PM,61.227,
75,09/20/17 03:00:00 PM,66.708,
76,09/20/17 04:30:00 PM,61.912,
77,09/20/17 06:00:00 PM,56.923,
78,09/20/17 07:30:00 PM,54.147,
79,09/20/17 09:00:00 PM,52.401,
80,09/20/17 10:30:00 PM,49.582,
81,09/21/17 12:00:00 AM,49.404,
82,09/21/17 01:30:00 AM,48.695,
83,09/21/17 03:00:00 AM,47.624,
84,09/21/17 04:30:00 AM,47.088,
85,09/21/17 06:00:00 AM,47.088,
86,09/21/17 07:30:00 AM,46.728,
87,09/21/17 09:00:00 AM,50.290,
88,09/21/17 10:30:00 AM,51.523,
89,09/21/17 12:00:00 PM,51.346,
90,09/21/17 01:30:00 PM,58.303,
91,09/21/17 03:00:00 PM,62.769,
92,09/21/17 04:30:00 PM,60.712,
93,09/21/17 06:00:00 PM,56.230,
94,09/21/17 07:30:00 PM,51.523,
95,09/21/17 09:00:00 PM,49.404,
96,09/21/17 10:30:00 PM,46.908,
97,09/22/17 12:00:00 AM,46.188,
98,09/22/17 01:30:00 AM,45.828,
99,09/22/17 03:00:00 AM,44.379,
100,09/22/17 04:30:00 AM,44.560,
101,09/22/17 06:00:00 AM,44.379,
102,09/22/17 07:30:00 AM,43.648,
103,09/22/17 09:00:00 AM,45.104,
104,09/22/17 10:30:00 AM,47.446,
105,09/22/17 12:00:00 PM,53.798,
106,09/22/17 01:30:00 PM,57.785,
107,09/22/17 03:00:00 PM,57.785,
108,09/22/17 04:30:00 PM,55.884,
109,09/22/17 06:00:00 PM,54.322,
110,09/22/17 07:30:00 PM,49.582,
111,09/22/17 09:00:00 PM,45.648,
112,09/22/17 10:30:00 PM,43.466,
113,09/23/17 12:00:00 AM,40.696,
114,09/23/17 01:30:00 AM,40.134,
115,09/23/17 03:00:00 AM,39.384,
116,09/23/17 04:30:00 AM,39.007,
117,09/23/17 06:00:00 AM,37.488,
118,09/23/17 07:30:00 AM,37.297,
119,09/23/17 09:00:00 AM,39.384,
120,09/23/17 10:30:00 AM,45.286,
121,09/23/17 12:00:00 PM,51.523,
122,09/23/17 01:30:00 PM,52.576,
123,09/23/17 03:00:00 PM,60.024,
124,09/23/17 04:30:00 PM,61.398,
125,09/23/17 06:00:00 PM,57.958,
126,09/23/17 07:30:00 PM,50.643,
127,09/23/17 09:00:00 PM,48.695,
128,09/23/17 10:30:00 PM,45.286,
129,09/24/17 12:00:00 AM,41.625,
130,09/24/17 01:30:00 AM,41.810,
131,09/24/17 03:00:00 AM,42.732,
132,09/24/17 04:30:00 AM,42.732,
133,09/24/17 06:00:00 AM,42.915,
134,09/24/17 07:30:00 AM,42.179,
135,09/24/17 09:00:00 AM,43.099,
136,09/24/17 10:30:00 AM,46.728,
137,09/24/17 12:00:00 PM,48.160,
138,09/24/17 01:30:00 PM,49.404,
139,09/24/17 03:00:00 PM,50.290,
140,09/24/17 04:30:00 PM,46.369,
141,09/24/17 06:00:00 PM,46.188,
142,09/24/17 07:30:00 PM,45.104,
143,09/24/17 09:00:00 PM,44.013,
144,09/24/17 10:30:00 PM,43.282,
145,09/25/17 12:00:00 AM,42.179,
146,09/25/17 01:30:00 AM,42.179,
147,09/25/17 03:00:00 AM,41.439,
148,09/25/17 04:30:00 AM,39.384,
149,09/25/17 06:00:00 AM,39.007,
150,09/25/17 07:30:00 AM,39.760,
151,09/25/17 09:00:00 AM,40.881,
152,09/25/17 10:30:00 AM,41.439,
153,09/25/17 12:00:00 PM,51.172,
154,09/25/17 01:30:00 PM,54.669,
155,09/25/17 03:00:00 PM,61.741,
156,09/25/17 04:30:00 PM,54.669,
157,09/25/17 06:00:00 PM,57.958,
158,09/25/17 07:30:00 PM,50.819,
159,09/25/17 09:00:00 PM,47.266,
160,09/25/17 10:30:00 PM,43.466,
161,09/26/17 12:00:00 AM,41.067,
162,09/26/17 01:30:00 AM,39.573,
163,09/26/17 03:00:00 AM,38.440,
164,09/26/17 04:30:00 AM,37.488,
165,09/26/17 06:00:00 AM,36.914,
166,09/26/17 07:30:00 AM,36.145,
167,09/26/17 09:00:00 AM,35.758,
168,09/26/17 10:30:00 AM,35.951,
169,09/26/17 12:00:00 PM,46.008,
170,09/26/17 01:30:00 PM,59.164,
171,09/26/17 03:00:00 PM,69.107,
172,09/26/17 04:30:00 PM,71.856,
173,09/26/17 06:00:00 PM,68.248,
174,09/26/17 07:30:00 PM,57.096,
175,09/26/17 09:00:00 PM,50.113,
176,09/26/17 10:30:00 PM,46.548,
177,09/27/17 12:00:00 AM,44.013,
178,09/27/17 01:30:00 AM,41.994,
179,09/27/17 03:00:00 AM,40.696,
180,09/27/17 04:30:00 AM,39.573,
181,09/27/17 06:00:00 AM,38.440,
182,09/27/17 07:30:00 AM,37.679,
183,09/27/17 09:00:00 AM,37.679,
184,09/27/17 10:30:00 AM,39.384,
185,09/27/17 12:00:00 PM,48.695,
186,09/27/17 01:30:00 PM,62.425,
187,09/27/17 03:00:00 PM,70.651,
188,09/27/17 04:30:00 PM,72.718,
189,09/27/17 06:00:00 PM,70.480,
190,09/27/17 07:30:00 PM,58.993,
191,09/27/17 09:00:00 PM,52.401,
192,09/27/17 10:30:00 PM,48.871,
193,09/28/17 12:00:00 AM,46.728,
194,09/28/17 01:30:00 AM,45.104,
195,09/28/17 03:00:00 AM,43.831,
196,09/28/17 04:30:00 AM,42.732,
197,09/28/17 06:00:00 AM,41.625,
198,09/28/17 07:30:00 AM,40.321,
199,09/28/17 09:00:00 AM,40.696,
200,09/28/17 10:30:00 AM,42.548,
201,09/28/17 12:00:00 PM,51.172,
202,09/28/17 01:30:00 PM,63.626,
203,09/28/17 03:00:00 PM,71.512,
204,09/28/17 04:30:00 PM,70.651,
205,09/28/17 06:00:00 PM,65.851,
206,09/28/17 07:30:00 PM,57.785,
207,09/28/17 09:00:00 PM,52.225,
208,09/28/17 10:30:00 PM,49.050,
209,09/29/17 12:00:00 AM,46.728,
210,09/29/17 01:30:00 AM,46.188,
211,09/29/17 03:00:00 AM,46.008,
212,09/29/17 04:30:00 AM,44.560,
213,09/29/17 06:00:00 AM,44.742,
214,09/29/17 07:30:00 AM,45.104,
215,09/29/17 09:00:00 AM,46.908,
216,09/29/17 10:30:00 AM,49.228,
217,09/29/17 12:00:00 PM,57.441,
218,09/29/17 01:30:00 PM,60.712,
219,09/29/17 03:00:00 PM,63.797,
220,09/29/17 04:30:00 PM,72.028,
221,09/29/17 06:00:00 PM,68.934,
222,09/29/17 07:30:00 PM,58.303,
223,09/29/17 09:00:00 PM,52.401,
224,09/29/17 10:30:00 PM,49.050,
225,09/30/17 12:00:00 AM,46.548,
226,09/30/17 01:30:00 AM,44.742,
227,09/30/17 03:00:00 AM,43.466,
228,09/30/17 04:30:00 AM,43.282,
229,09/30/17 06:00:00 AM,44.013,
230,09/30/17 07:30:00 AM,44.742,
231,09/30/17 09:00:00 AM,46.908,
232,09/30/17 10:30:00 AM,48.695,
233,09/30/17 12:00:00 PM,55.537,
234,09/30/17 01:30:00 PM,52.225,
235,09/30/17 03:00:00 PM,57.958,
236,09/30/17 04:30:00 PM,59.851,
237,09/30/17 06:00:00 PM,52.576,
238,09/30/17 07:30:00 PM,49.582,
239,09/30/17 09:00:00 PM,47.802,
240,09/30/17 10:30:00 PM,44.742,
241,10/01/17 12:00:00 AM,44.013,
242,10/01/17 01:30:00 AM,41.810,
243,10/01/17 03:00:00 AM,40.134,
244,10/01/17 04:30:00 AM,39.384,
245,10/01/17 06:00:00 AM,39.384,
246,10/01/17 07:30:00 AM,39.384,
247,10/01/17 09:00:00 AM,40.881,
248,10/01/17 10:30:00 AM,42.363,
249,10/01/17 12:00:00 PM,47.802,
250,10/01/17 01:30:00 PM,49.937,
251,10/01/17 03:00:00 PM,51.699,
252,10/01/17 04:30:00 PM,54.147,
253,10/01/17 06:00:00 PM,47.982,
254,10/01/17 07:30:00 PM,44.379,
255,10/01/17 09:00:00 PM,40.881,
256,10/01/17 10:30:00 PM,39.384,
257,10/02/17 12:00:00 AM,38.818,
258,10/02/17 01:30:00 AM,38.061,
259,10/02/17 03:00:00 AM,36.914,
260,10/02/17 04:30:00 AM,35.951,
261,10/02/17 06:00:00 AM,36.145,
262,10/02/17 07:30:00 AM,36.338,
263,10/02/17 09:00:00 AM,36.914,
264,10/02/17 10:30:00 AM,40.696,
265,10/02/17 12:00:00 PM,47.446,
266,10/02/17 01:30:00 PM,61.054,
267,10/02/17 03:00:00 PM,64.310,
268,10/02/17 04:30:00 PM,67.735,
269,10/02/17 06:00:00 PM,58.303,
270,10/02/17 07:30:00 PM,51.523,
271,10/02/17 09:00:00 PM,45.466,
272,10/02/17 10:30:00 PM,43.282,
273,10/03/17 12:00:00 AM,41.254,
274,10/03/17 01:30:00 AM,40.134,
275,10/03/17 03:00:00 AM,39.947,
276,10/03/17 04:30:00 AM,37.679,
277,10/03/17 06:00:00 AM,36.145,
278,10/03/17 07:30:00 AM,34.981,
279,10/03/17 09:00:00 AM,34.590,
280,10/03/17 10:30:00 AM,34.590,
281,10/03/17 12:00:00 PM,41.439,
282,10/03/17 01:30:00 PM,53.274,
283,10/03/17 03:00:00 PM,63.626,
284,10/03/17 04:30:00 PM,67.221,
285,10/03/17 06:00:00 PM,64.825,
286,10/03/17 07:30:00 PM,52.401,
287,10/03/17 09:00:00 PM,46.548,
288,10/03/17 10:30:00 PM,44.560,
289,10/04/17 12:00:00 AM,44.742,
290,10/04/17 01:30:00 AM,44.379,
291,10/04/17 03:00:00 AM,43.831,
292,10/04/17 04:30:00 AM,42.732,
293,10/04/17 06:00:00 AM,41.994,
294,10/04/17 07:30:00 AM,40.696,
295,10/04/17 09:00:00 AM,43.648,
296,10/04/17 10:30:00 AM,44.560,
297,10/04/17 12:00:00 PM,49.050,
298,10/04/17 01:30:00 PM,53.973,
299,10/04/17 03:00:00 PM,56.404,
300,10/04/17 04:30:00 PM,61.741,
301,10/04/17 06:00:00 PM,58.647,
302,10/04/17 07:30:00 PM,49.404,
303,10/04/17 09:00:00 PM,45.286,
304,10/04/17 10:30:00 PM,42.915,
305,10/05/17 12:00:00 AM,40.696,
306,10/05/17 01:30:00 AM,39.196,
307,10/05/17 03:00:00 AM,37.870,
308,10/05/17 04:30:00 AM,37.107,
309,10/05/17 06:00:00 AM,36.723,
310,10/05/17 07:30:00 AM,35.951,
311,10/05/17 09:00:00 AM,35.951,
312,10/05/17 10:30:00 AM,36.723,
313,10/05/17 12:00:00 PM,47.266,
314,10/05/17 01:30:00 PM,61.912,
315,10/05/17 03:00:00 PM,65.680,
316,10/05/17 04:30:00 PM,65.167,
317,10/05/17 06:00:00 PM,62.940,
318,10/05/17 07:30:00 PM,52.576,
319,10/05/17 09:00:00 PM,47.982,
320,10/05/17 10:30:00 PM,44.560,
321,10/06/17 12:00:00 AM,41.994,
322,10/06/17 01:30:00 AM,39.947,
323,10/06/17 03:00:00 AM,38.440,
324,10/06/17 04:30:00 AM,37.488,
325,10/06/17 06:00:00 AM,36.531,
326,10/06/17 07:30:00 AM,35.758,
327,10/06/17 09:00:00 AM,35.758,
328,10/06/17 10:30:00 AM,37.297,
329,10/06/17 12:00:00 PM,44.379,
330,10/06/17 01:30:00 PM,58.131,
331,10/06/17 03:00:00 PM,63.111,
332,10/06/17 04:30:00 PM,64.481,
333,10/06/17 06:00:00 PM,61.741,
334,10/06/17 07:30:00 PM,52.050,
335,10/06/17 09:00:00 PM,47.088,
