date_processed,plot_ID,tin_weight,tin_air_dry_soil,tin_oven_dry_soil,processor,date_analyzed,hydro_calib,temp_calib,soil_wt,hydro_40,temp_40,hydro_120,temp_120
2019-03-22,3312-messedup,1.042,11.343,11.189,Elizabeth Simpson,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-22,3232,1.156,11.598,11.472,Elizabeth Simpson,2019-10-21,3,23,50.61,32.5,22.5,8,21
2019-03-22,3311,1.144,11.52,11.292,Elizabeth Simpson,2019-08-26,5.8,23.5,50.25,33,23,9,20
2019-03-22,3233,1.145,11.135,10.984,Elizabeth Simpson,2019-10-17,3,23,50.62,26,22.5,8,20
2019-03-22,3321,1.168,11.295,11.071,Elizabeth Simpson,2019-08-26,5.8,23.5,50.54,24,22.5,7.5,20
2019-03-22,3223,1.125,11.127,10.972,Elizabeth Simpson,2019-10-21,3,23,49.96,33.5,22.5,12.5,20.5
2019-03-22,3333,1.161,11.115,10.986,Elizabeth Simpson,2019-10-24,2.5,23,50.52,22,22,8,19.5
2019-03-22,3332,1.138,10.875,10.769,Elizabeth Simpson,2019-10-17,3,23,50.2,31,22,9,20.5
2019-03-22,3322,1.171,11.521,11.265,Elizabeth Simpson,2019-10-24,2.5,23,49.83,23,22,7.5,19.5
2019-03-22,3231,1.155,11.278,11.147,Elizabeth Simpson,2019-10-21,3,23,50.32,28,23,7.5,20.5
2019-03-22,3313,1.169,10.885,10.745,Elizabeth Simpson,2019-10-21,3,23,49.58,22,22.5,6,21
2019-04-05,3213,1.169,10.994,10.77,Elizabeth Simpson,2019-10-21,3,23,50.58,28,23,6.5,20.5
2019-04-05,2332,1.14,11.513,11.221,Elizabeth Simpson,2019-10-18,3,23,50.29,34.5,22.5,17,20.5
2019-04-05,3132,1.164,11.466,11.346,Elizabeth Simpson,2019-10-18,3,23,50.6,27,22.5,8.5,20.5
2019-04-05,3131,1.148,11.235,11.076,Elizabeth Simpson,2019-10-18,3,23,50.52,38,22.5,10,20.5
2019-04-05,3222,1.167,11.263,10.971,Elizabeth Simpson,2019-10-21,3,23,50.15,25,23,6.5,20
2019-04-05,3122,1.18,10.845,10.7,Elizabeth Simpson,2019-08-26,5.8,23.5,50.33,27.5,23,11.5,20
2019-04-05,3331,1.168,10.201,10.022,Elizabeth Simpson,2019-10-18,3,23,49.9,27.5,22.5,7.5,20.5
2019-04-10,3212,1.142,11.085,10.889,Elizabeth Simpson,2019-10-17,3,23,50.32,30,22.5,8,20.5
2019-04-10,2232,1.148,11.283,11.152,Elizabeth Simpson,2019-10-17,3,23,50.08,33,22,10,20.5
2019-04-10,3211,1.239,11.605,11.398,Elizabeth Simpson,2019-10-24,2.5,23,49.93,37,22,10.5,19.5
2019-04-10,3121,1.187,11.47,11.316,Elizabeth Simpson,2019-10-17,3,23,49.98,24,23,7,20.5
2019-04-10,3221,1.219,11.683,11.315,Elizabeth Simpson,2019-10-21,3,23,49.94,27,22.5,7.5,20.5
2019-04-10,3323,1.201,11.444,11.048,Elizabeth Simpson,2019-10-17,3,23,50.68,24,22,6.5,20
2019-04-10,3133,1.234,10.7783,10.658,Elizabeth Simpson,2019-10-22,3,23,50.32,26.5,22,9,19
2019-05-21,3112,1.151,11.442,11.217,Elizabeth Simpson,2019-10-18,3,23,50.34,27,23,6.5,20.5
2019-05-21,3113,1.191,10.627,10.295,Ian Fraser,2019-10-24,2.5,23,50.11,24,23,6.5,19
2019-05-21,3123,1.14,11.157,11.001,Ian Fraser,2019-10-22,,23,50.27,37.5,22.5,10,19
2019-05-21,2331-Hbroke,1.158,11.24,10.999,Ian Fraser,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-21,2313-Hbroke,1.172,11.441,11.136,Ian Fraser,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-21,3111,1.191,10.762,10.512,Ian Fraser,2019-10-24,3,23,50.9,33,22,10,20
2019-05-22,2231-Hbroke,1.236,10.744,10.48,Ian Fraser,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-22,2323,1.147,11.214,10.865,Ian Fraser,2019-10-28,3,23.5,50.14,37,22.5,13.5,20
