Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,ck_date_weighed,ck_weigher,ck_leaf_mass_g,ck_petiole_mass_g,Notes,Scans
2018-06-13,Elizabeth Simpson,,5,Prunus virginiana,1111-1a,2018-11-05,Hillary Woolf,1.241,0.055,,,,,some spots – herbivory,1111-1a-b.jpeg _ 1111-1pet-a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Prunus virginiana,1111-1b,2018-11-05,Hillary Woolf,0.827,0.052,,,,,some spots – herbivory,1111-1a-b.jpeg _ 1111-1pet-a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Prunus virginiana,1111-1c,2018-11-05,Hillary Woolf,0.987,0.067,,,,,some spots – herbivory,1111-1c-e.jpeg _ 1111-1pet-a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Prunus virginiana,1111-1d,2018-11-05,Hillary Woolf,0.876,0.045,2018-11-30,Elizabeth Simpson,0.875,0.045,some spots – herbivory,1111-1c-e.jpeg _ 1111-1pet-a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Prunus virginiana,1111-1e,2018-11-05,Hillary Woolf,1.224,0.065,,,,,some spots – herbivory,1111-1c-e.jpeg _ 1111-1pet-a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-2a,2018-11-05,Hillary Woolf,0.053,0,,,,,some spots – herbivory,1111-2a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-2b,2018-11-05,Hillary Woolf,0.064,0,,,,,some spots – herbivory,1111-2a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-2c,2018-11-05,Hillary Woolf,0.09,0,,,,,some spots – herbivory,1111-2a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-2d,2018-11-05,Hillary Woolf,0.072,0,2018-11-30,Elizabeth Simpson,0.072,0,some spots – herbivory,1111-2a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Symphoricarpos oreophilus,1111-2e,2018-11-05,Hillary Woolf,0.055,0,,,,,some spots – herbivory,1111-2a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Lathyrus pauciflorus,1111-3a,2018-11-05,Hillary Woolf,0.095,0,2018-11-30,Elizabeth Simpson,0.095,0,collected leaflets - not whole compound leaves – some herbivory,1111-3a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Lathyrus pauciflorus,1111-3b,2018-11-05,Hillary Woolf,0.064,0,,,,,collected leaflets - not whole compound leaves – some herbivory,1111-3a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Lathyrus pauciflorus,1111-3c,2018-11-05,Hillary Woolf,0.111,0,,,,,collected leaflets - not whole compound leaves – some herbivory,1111-3a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Lathyrus pauciflorus,1111-3d,2018-11-05,Hillary Woolf,0.099,0,,,,,collected leaflets - not whole compound leaves – some herbivory,1111-3a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Lathyrus pauciflorus,1111-3e,2018-11-05,Hillary Woolf,0.079,0,,,,,collected leaflets - not whole compound leaves – some herbivory,1111-3a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Chrysothamnus viscidiflorus,1111-4a,2018-11-05,Hillary Woolf,0.027,0,2018-11-30,Elizabeth Simpson,0.026,0,,1111-4a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Chrysothamnus viscidiflorus,1111-4b,2018-11-05,Hillary Woolf,0.052,0,,,,,,1111-4a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Chrysothamnus viscidiflorus,1111-4c,2018-11-05,Hillary Woolf,0.03,0,,,,,,1111-4a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Chrysothamnus viscidiflorus,1111-4d,2018-11-05,Hillary Woolf,0.051,0,,,,,,1111-4a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Chrysothamnus viscidiflorus,1111-4e,2018-11-05,Hillary Woolf,0.035,0,,,,,,1111-4a-e.jpeg
2018-06-13,Elizabeth Simpson,,5,Achillea millefolium,1111-5a,2018-11-05,Hillary Woolf,0.189,0,,,,,petioles attached,1111-5a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Achillea millefolium,1111-5b,2018-11-05,Hillary Woolf,0.264,0,2018-11-30,Elizabeth Simpson,0.264,0,petioles attached,1111-5a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Mainthemum stellatum,1111-6a,2018-11-05,Hillary Woolf,0.551,0,,,,,,1111-6a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Mainthemum stellatum,1111-6b,2018-11-05,Hillary Woolf,0.347,0,2018-11-30,Elizabeth Simpson,0.347,0,,1111-6a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Lithophragma parviflora,1111-7a,2018-11-05,Hillary Woolf,0.022,0,2018-11-30,Elizabeth Simpson,0.023,0,petioles attached,1111-7a.jpeg
2018-06-13,Elizabeth Simpson,,5,Claytonia perfoliata,1111-8a,2018-11-05,Hillary Woolf,0.015,0,2018-11-30,Elizabeth Simpson,0.015,0,,1111-8a.jpeg
2018-06-13,Elizabeth Simpson,,5,Collinsia parviflora,1111-9a,2018-11-05,Hillary Woolf,0.006,0,,,,,,1111-9a.jpeg
2018-06-13,Elizabeth Simpson,,5,Mentha arvensis,1111-10a,2018-11-05,Hillary Woolf,0.214,0.017,,,,,some spots – herbivory,1111-10a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Mentha arvensis,1111-10b,2018-11-05,Hillary Woolf,0.244,0.018,2018-11-30,Elizabeth Simpson,0.243,0.017,some spots – herbivory,1111-10a-b.jpeg
2018-06-13,Elizabeth Simpson,,5,Lactuca serriola,1111-11a,2018-11-05,Hillary Woolf,0.081,0,,,,,,1111-11a-c.jpeg
2018-06-13,Elizabeth Simpson,,5,Lactuca serriola,1111-11b,2018-11-05,Hillary Woolf,0.06,0,,,,,,1111-11a-c.jpeg
