Date_collected,Recorder_1,Recorder_2,Plot_id,lat,long,Sp_num,Species,seeds_individual,notes
2019-06-17,Elizabeth Simpson,,2323,,,S19-6a,Arnica cordifolia,all,wind blown some escaped
2019-06-17,Elizabeth Simpson,,2323,,,S19-6b,Arnica cordifolia,all,wind blown some escaped
2019-06-17,Elizabeth Simpson,,2323,,,S19-6c,Arnica cordifolia,all,wind blown some escaped
2019-06-17,Elizabeth Simpson,,2323,,,S19-6d,Arnica cordifolia,all,wind blown some escaped
2019-06-17,Elizabeth Simpson,,2323,,,S19-6e,Arnica cordifolia,all,wind blown some escaped
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-3a,Nemophila breviflora,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-3b,Nemophila breviflora,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-3c,Nemophila breviflora,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-3d,Nemophila breviflora,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-3e,Nemophila breviflora,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-4a,Galium aparine,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-4b,Galium aparine,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-4c,Galium aparine,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-4d,Galium aparine,all,
2019-06-26,Elizabeth Simpson,Ian Fraser,1111,,,S19-4e,Galium aparine,all,
2019-06-27,Elizabeth Simpson,,A1111,,,S19-1a,Mitella stauropetala,all,some sprung away and dropped
2019-06-27,Elizabeth Simpson,,A1111,,,S19-1b,Mitella stauropetala,all,some sprung away and dropped
2019-06-27,Elizabeth Simpson,,A1111,,,S19-1c,Mitella stauropetala,all,some sprung away and dropped
2019-06-27,Elizabeth Simpson,,A1111,,,S19-1d,Mitella stauropetala,all,some sprung away and dropped
2019-06-27,Elizabeth Simpson,,A1111,,,S19-1e,Mitella stauropetala,all,some sprung away and dropped
2019-06-27,Elizabeth Simpson,,B3332,,,S19-1a,Poa bulbosa,all,from one basal clump
2019-06-27,Elizabeth Simpson,,B3332,,,S19-1b,Poa bulbosa,all,from one basal clump
2019-06-27,Elizabeth Simpson,,B3332,,,S19-1c,Poa bulbosa,all,from one basal clump
2019-06-27,Elizabeth Simpson,,B3332,,,S19-1d,Poa bulbosa,all,from one basal clump
2019-06-27,Elizabeth Simpson,,B3332,,,S19-1e,Poa bulbosa,all,from one basal clump
