Measurer,Plot_id,Aspect_deg,Slope_down_deg,Slope_up_deg,gps_elev_m,gps_used
Elizabeth Simpson,B1113,71,8.2,8.5,1987,Garmin Rhino 700
Elizabeth Simpson,B1112,62,8.9,8.6,1970,Garmin Rhino 700
Elizabeth Simpson,B1111,81,6.8,7.5,1985,Garmin Rhino 700
Elizabeth Simpson,B2221,249,4.5,9.7,2191,Garmin Rhino 700
Elizabeth Simpson,B2222,0,2,1.8,2194,Garmin Rhino 700
Elizabeth Simpson,B2223,315,2.5,0.5,2198,Garmin Rhino 700
Elizabeth Simpson,A3333,243,2.6,7.9,1880,Garmin Rhino 700
Elizabeth Simpson,A3332,242,12.5,14,1894,Garmin Rhino 700
Elizabeth Simpson,A3331,179,11,10.5,1887,Garmin Rhino 700
Elizabeth Simpson,A2223,63,5.6,3,1915,Garmin Rhino 700
Elizabeth Simpson,A2222,71,7.9,5.8,1913,Garmin Rhino 700
Elizabeth Simpson,A2221,68,3.9,5.3,1916,Garmin Rhino 700
Elizabeth Simpson,A1113,273,22.4,26.4,1952,Garmin Rhino 700
Elizabeth Simpson,A1111,339,40.8,40.5,1901,Garmin Rhino 700
Elizabeth Simpson,A1112,269,16.2,29,1976,Garmin Rhino 700
Elizabeth Simpson,B3332,226,16.5,27,2050,Garmin Rhino 700
Elizabeth Simpson,B3333,19,32.4,35,2065,Garmin Rhino 700
Elizabeth Simpson,B3331,15,21,22.4,2041,Garmin Rhino 700
Elizabeth Simpson,C2221,173,22.4,25.3,2265,Garmin Rhino 700
Elizabeth Simpson,C2222,165,25.6,24.8,2250,Garmin Rhino 700
Elizabeth Simpson,C2223,158,28.2,29.5,2216,Garmin Rhino 700
Elizabeth Simpson,C3331,297,27.8,35.9,2144,Garmin Rhino 700
Elizabeth Simpson,C3332,50,27.5,29,2126,Garmin Rhino 700
Elizabeth Simpson,C3333,26,20.9,18.6,2160,Garmin Rhino 700
Elizabeth Simpson,D2221,15,4.8,6.5,2244,Garmin Rhino 700
Elizabeth Simpson,D2223,47,10.2,12,2235,Garmin Rhino 700
Elizabeth Simpson,D2222,50,5.1,6.6,2229,Garmin Rhino 700
Elizabeth Simpson,D1113,225,10.4,10.6,2242,Garmin Rhino 700
Elizabeth Simpson,D1111,10,22.9,26.5,2227,Garmin Rhino 700
Elizabeth Simpson,D1112,333,11.8,15,2235,Garmin Rhino 700
Elizabeth Simpson,D3332,195,18.5,27.4,2218,Garmin Rhino 700
Elizabeth Simpson,D3333,36,22,29.5,2240,Garmin Rhino 700
Elizabeth Simpson,D3331,110,8.6,10.5,2230,Garmin Rhino 700
Elizabeth Simpson,C1113,163,12.8,11.2,2193,Garmin Rhino 700
Elizabeth Simpson,C1111,162,2.5,2.6,2202,Garmin Rhino 700
Elizabeth Simpson,C1112,68,9.2,12,2200,Garmin Rhino 700
Elizabeth Simpson,A3111,141,6.4,9.2,1932,Garmin Rhino 700
Elizabeth Simpson,A1333,62,35,31.7,2011,Garmin Rhino 700
Elizabeth Simpson,A1222,245,4.2,6,1981,Garmin Rhino 700
Elizabeth Simpson,A2111,96,4.2,3.5,1976,Garmin Rhino 700
Elizabeth Simpson,A2333,105,12.9,11.2,1939,Garmin Rhino 700
Elizabeth Simpson,A3222,338,14.2,11,1960,Garmin Rhino 700
Elizabeth Simpson,B1222,286,27,28.2,1998,Garmin Rhino 700
Elizabeth Simpson,B2111,318,2.6,4,1987,Garmin Rhino 700
Elizabeth Simpson,B2333,57,29.4,27.5,2100,Garmin Rhino 700
Elizabeth Simpson,B1333,63,11.4,11.5,2022,Garmin Rhino 700
Elizabeth Simpson,B3111,312,2,3.6,1967,Garmin Rhino 700
Elizabeth Simpson,B3222,255,21.6,25.2,2092,Garmin Rhino 700
Elizabeth Simpson,C1333,161,9.5,7.8,2012,Garmin Rhino 700
Elizabeth Simpson,C3111,313,20.7,20.1,2149,Garmin Rhino 700
Elizabeth Simpson,C3222,336,23.7,15.8,2178,Garmin Rhino 700
Elizabeth Simpson,C2333,350,12.1,12.1,2220,Garmin Rhino 700
Elizabeth Simpson,C2111,121,34.8,29.5,2167,Garmin Rhino 700
Elizabeth Simpson,C1222,290,29.2,25.6,2059,Garmin Rhino 700
