Date,Recorder_1,Recorder_2,Plot_id,Sp_num,Species,height_cm,phenology,in_out_of_plot
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1322,19-1a,Mertensia oblongifolia,22,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1322,19-1b,Mertensia oblongifolia,22,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1322,19-1c,Mertensia oblongifolia,23,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1322,19-1d,Mertensia oblongifolia,26,B,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-1a,Lomatium dissectum,23,B-F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-1b,Lomatium dissectum,25,B-F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-1c,Lomatium dissectum,24,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-1d,Lomatium dissectum,23,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-1e,Lomatium dissectum,31,B-F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-2a,Erodium cicutarium,5,F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-2b,Erodium cicutarium,3,F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-2c,Erodium cicutarium,4,F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-2d,Erodium cicutarium,4.5,F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-2e,Erodium cicutarium,7,F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-3a,Alyssum desertorum,7.3,F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-3b,Alyssum desertorum,6,F,out
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-3c,Alyssum desertorum,4.8,F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-3d,Alyssum desertorum,5,F,in
2019-05-07,Elizabeth Simpson,Michael Stemkovski,1233,19-3e,Alyssum desertorum,6.5,F,in
2019-05-14,Elizabeth Simpson,Ian Fraser,1111,19-1a,Collinsia parviflora,6,F,in
2019-05-14,Elizabeth Simpson,Ian Fraser,1111,19-1b,Collinsia parviflora,7.8,F,in
2019-05-14,Elizabeth Simpson,Ian Fraser,1111,19-1c,Collinsia parviflora,5.2,F,in
2019-05-14,Elizabeth Simpson,Ian Fraser,1111,19-1d,Collinsia parviflora,6.8,F,in
2019-05-14,Elizabeth Simpson,Ian Fraser,1111,19-1e,Collinsia parviflora,5.3,F,in
