Date_collected,Recorder_1,Recorder_2,N_leaves,Species,Scans,Bag_label,Scanned_by,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,Notes,scanner_used,dpi_ppi
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Mertensia oblongifolia,19-1322-1a-c.jpeg,19-1322-1a,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.172,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Mertensia oblongifolia,19-1322-1a-c.jpeg,19-1322-1b,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.184,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Mertensia oblongifolia,19-1322-1a-c.jpeg,19-1322-1c,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.198,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Mertensia oblongifolia,19-1322-1d.jpeg,19-1322-1d,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.106,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Lomatium dissectum,19-1233-1aA.jpeg_19-1233-1aE.jpeg_19-1233-1apet.jpg,19-1233-1a,Elizabeth Simpson,2021-02-23,Elizabeth Simpson,3.769,1.346,Scanned 24 hr after collected_leaves challenging to get flat_96 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Lomatium dissectum,19-1233-1bA.jpeg_19-1233-1bG.jpeg_19-1233-1bpet.jpg,19-1233-1b,Elizabeth Simpson,2021-02-23,Elizabeth Simpson,6.852,1.498,Scanned 24 hr after collected_leaves challenging to get flat_96 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Lomatium dissectum,19-1233-1cA.jpeg_19-1233-1cH.jpeg_19-1233-1cpet.jpg,19-1233-1c,Elizabeth Simpson,2021-02-23,Elizabeth Simpson,5.441,1.972,Scanned 24 hr after collected_leaves challenging to get flat_96 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Lomatium dissectum,19-1233-1dA.jpeg_19-1233-1dF.jpeg_19-1233-1dpet.jpg,19-1233-1d,Elizabeth Simpson,2021-02-23,Elizabeth Simpson,5.142,1.138,Scanned 24 hr after collected_leaves challenging to get flat_96 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Erodium cicutarium,19-1233-2a-e.jpeg,19-1233-2a,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.108,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Erodium cicutarium,19-1233-2a-e.jpeg,19-1233-2b,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.058,0,120 hours in drying oven,old,300
2019-05-07,Elizabeth Simpson,Michael Stemkovski,5,Erodium cicutarium,19-1233-2a-e.jpeg,19-1233-2c,Elizabeth Simpson,2020-11-07,Elizabeth Simpson,0.044,0,120 hours in drying oven,old,300
