"","x"
"1","agoseris heterophylla"
"2","agoseris parviflora"
"3","allium acuminatum"
"4","alyssum desertorum"
"5","amelanchier alnifolia"
"6","antennaria alpina"
"7","artemisia ludoviciana"
"8","astragalus cibarius"
"9","astragalus convallarius"
"10","berberis repens"
"11","castilleja linariifolia"
"12","cirsium arvense"
"13","cirsium pulcherrimum"
"14","comandra umbellata"
"15","delphinium occidentale"
"16","elymus smithii"
"17","eucephalus engelmannii"
"18","fragaria vesca"
"19","geum macrophyllum"
"20","humulus lupulus"
"21","leonurus cardiaca"
"22","linaria genistifolia"
"23","maianthemum stellatum"
"24","meliotus officinalis"
"25","ozomelis stauropetala"
"26","paxistima myrsinites"
"27","physocarpus malvaceus"
"28","purshia tridentata"
"29","senecio schweinfurthii"
"30","shepherdia canadensis"
"31","sisymbrium altissimum"
"32","stellaria media"
"33","symphyotrichum ascendens"
